excel_id,req_id,priority,module,title,status,automation_case,notes
11,F03_UC004,P2,推荐页面,酷我主页划动页面,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,首页 Tab 内容区可滚动列表和业务内容非空已强断言。
12,F03_UC004,P2,推荐页面,查看推荐页面显示,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,推荐/热门内容区展示已通过 Tab 强断言覆盖。
13,F03_UC004,P2,推荐页面,推荐页中点击歌单,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_hot_single_song_recommendation_play_strong,热门/推荐单曲榜单卡进入详情并点击首行歌曲，通过媒体会话验证播放。
14,F03_UC004,P2,推荐页面,推荐页中点击只有一首歌曲的歌单,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_hot_single_song_recommendation_play_strong,热门页单曲推荐卡进入详情并点击首行歌曲，通过酷我媒体会话状态和元数据验证。
15,F03_UC004,P2,会员专区,查看会员专区页显示,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,会员专区 Tab 展示、选中态和内容非空已强断言。
16,F03_UC004,P2,会员专区,会员专区页中点击歌单,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_member_playlist_and_library_category_strong,会员专区首屏歌单/专题卡进入详情页并校验详情列表可读、可返回。
17,F03_UC005,P2,热门,查看热点页面显示,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,热门 Tab 展示、选中态和内容非空已强断言。
18,F03_UC005,P2,热门,热点页面点击榜单验证,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_hot_single_song_recommendation_play_strong,当前热门页以单曲推荐榜单卡形式展示，已覆盖点击榜单卡、进入列表和歌曲播放验证。
19,F03_UC006,P2,电台,查看电台页显示,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,听吧/电台类 Tab 展示、选中态和内容非空已强断言。
20,F03_UC006,P2,电台,点击电台页中的类目验证,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_tingba_category_and_radio_item_strong,听吧分类网格可读，进入“推荐”电台分类并点击首个电台，验证 MiniPlayer 标题变化。
21,F03_UC006,P2,电台,电台分类页中点击分类,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_tingba_category_and_radio_item_strong,听吧推荐分类页展示 radio_name/play_count，点击电台后播放内容切换。
22,F03_UC007,P2,曲库,查看曲库页面显示,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,曲库 Tab 展示、选中态和内容非空已强断言。
24,F03_UC007,P2,曲库,点击场景中的类目,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_member_playlist_and_library_category_strong,曲库页点击“抖音”类目，校验分类标题和歌单列表展示。
25,F03_UC004,P1,主页,点击歌单中的播放/暂停按钮,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_song_list_miniplayer_play_pause_readonly,歌单详情页 MiniPlayer 播放/暂停控件点击后，通过子图标 content-desc 强断言状态变化并恢复。
26,F03_UC007,P2,歌单详情页,歌单-歌曲列表页点击搜索按钮,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_content_card_enter_and_back,已打开歌曲列表详情页并验证标题栏搜索入口可达搜索页。
27,F03_UC007,P2,歌单详情页,歌单-歌曲列表页点击设置按钮,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_content_card_enter_and_back,已打开歌曲列表详情页并验证标题栏设置入口可达设置页。
28,F03_UC007,P2,歌单详情页,歌单-歌曲列表页点击酷我icon,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_content_card_enter_and_back,已打开歌曲列表详情页并验证酷我 icon 可打开媒体模块切换弹层。
29,F03_UC007,P2,歌单详情页,歌单-歌曲列表页点击返回按钮,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_content_card_enter_and_back,已打开歌曲列表详情页并验证返回按钮回到酷我首页。
30,F03_UC007,P2,歌单详情页,歌单-歌曲列表页长按歌曲,PARTIAL,tests/kuwo/test_kuwo_home.py::test_kuwo_home_content_card_enter_and_back,已进入歌单详情并长按歌曲观测；当前未出现稳定菜单/弹层，长按过久会触发系统桌面编辑，暂不强升。
32,F03_UC007,P2,榜单列表页,榜单-歌曲列表页点击设置按钮,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_content_card_enter_and_back,已打开榜单列表详情页并验证标题栏设置入口可达设置页。
33,F03_UC007,P2,榜单列表页,榜单-歌曲列表页点击酷我icon,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_content_card_enter_and_back,已打开榜单列表详情页并验证酷我 icon 可打开媒体模块切换弹层。
34,F03_UC007,P2,榜单列表页,榜单-歌曲列表页点击返回按钮,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_content_card_enter_and_back,已打开榜单列表详情页并验证返回按钮回到酷我首页。
35,F03_UC007,P2,榜单列表页,榜单-歌曲列表页长按歌曲,PARTIAL,tests/kuwo/test_kuwo_home.py::test_kuwo_home_content_card_enter_and_back,已进入榜单详情并长按歌曲观测；当前未出现稳定菜单/弹层，长按过久会触发系统桌面编辑，暂不强升。
36,F03_UC008,P2,我的,已登录账号查看我的页面显示,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_mine_logged_in_vip_status_strong,我的页已登录账号昵称展示已强断言。
37,F03_UC008,P2,我的,未登录账号查看我的页面显示,PARTIAL,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,当前台架为已登录 VIP 账号，不执行登出/清数据；仅保留我的页入口证据，未登录态需手工或专项账号环境。
38,F03_UC008,P2,我的,已登录VIP账号查看我的页面显示,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_mine_logged_in_vip_status_strong,我的页 VIP 有效期展示已强断言。
49,F03_UC014,P2,最近收听,最近收听页面点击搜索,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_recent_list_observation_readonly,已进入最近收听页并验证标题栏搜索入口可达搜索页。
50,F03_UC014,P2,最近收听,最近收听页面点击设置,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_recent_list_observation_readonly,已进入最近收听页并验证标题栏设置入口可达设置页。
51,F03_UC014,P2,最近收听,最近收听页面点击酷我ICON,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_recent_list_observation_readonly,已进入最近收听页并验证酷我 icon 可打开媒体模块切换弹层。
53,F03_UC014,P1,最近收听,最近收听页点击音乐,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_recent_list_observation_readonly,已进入最近收听页点击首行歌曲并保留播放后截图。
65,F03_UC015,P2,下载,下载页面点击返回,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_download_page_title_actions_stateful,已覆盖下载页标题栏返回入口，并验证回到酷我首页。
66,F03_UC015,P2,下载,下载页面点击搜索,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_download_page_title_actions_stateful,已覆盖下载页标题栏搜索入口，并验证搜索页展示。
67,F03_UC015,P2,下载,下载页面点击设置,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_download_page_title_actions_stateful,已覆盖下载页标题栏设置入口，并验证设置页展示。
68,F03_UC015,P2,下载,下载页面点击酷我ICON,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_download_page_title_actions_stateful,已覆盖下载页酷我 ICON，并验证媒体模块切换弹层。
77,F03_UC015,P2,下载,会员账号下载需VIP下载的单曲,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_player_vip_download_current_song_stateful,以当前台架 VIP 登录账号为固定前置；用例覆盖播放页 VIP 下载按钮点击、下载后进入下载页验证歌曲展示，账号态丢失时 skip 保护结果。
79,F03_UC015,P2,下载,会员账号下载次数已用完下载需VIP下载的单曲,MANUAL_AUTH,,需构造会员下载次数耗尽账号，当前台架账号有效期至 2072-09-03，不能通过自动化消耗权益。
80,F03_UC015,P2,下载,会员账号下载次数已用完下载需VIP且历史下载过的单曲,MANUAL_AUTH,,需构造下载次数耗尽且历史已下载资源的账号态，当前环境不具备该权益边界。
81,F03_UC015,P2,下载,非会员下载免费下载的单曲,MANUAL_AUTH,,需切换非会员账号并准备免费资源；当前台架为会员账号，不执行登出/切号。
82,F03_UC015,P2,下载,非会员账号下载需vip下载的单曲,MANUAL_AUTH,,需切换非会员账号并准备 VIP 资源；当前台架为会员账号，不执行登出/切号。
83,F03_UC015,P2,下载,未登录账号下载免费下载的单曲,MANUAL_AUTH,,需未登录账号态；当前台架为已登录账号，不执行登出。
84,F03_UC015,P2,下载,未登录账号下载需vip下载的单曲,MANUAL_AUTH,,需未登录账号态和 VIP 资源；当前台架为已登录账号，不执行登出。
95,F03_UC016,P2,收藏,收藏页面点击返回,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_favorite_page_title_actions_stateful,已覆盖收藏页标题栏返回入口，并验证回到酷我首页。
96,F03_UC016,P2,收藏,收藏页面点击搜索,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_favorite_page_title_actions_stateful,已覆盖收藏页标题栏搜索入口，并验证搜索页展示。
97,F03_UC016,P2,收藏,收藏页面点击设置,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_favorite_page_title_actions_stateful,已覆盖收藏页标题栏设置入口，并验证设置页展示。
98,F03_UC016,P2,收藏,收藏页面点击酷我ICON,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_favorite_page_title_actions_stateful,已覆盖收藏页酷我 ICON，并验证媒体模块切换弹层。
126,F03_UC017,P1,收藏,收藏专辑页点击图片中的播放/暂停按钮,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_favorite_album_playlist_play_buttons_stateful,当前 VIP 账号已有收藏专辑数据，点击收藏专辑封面播放按钮并保留截图，随后暂停恢复。
139,F03_UC017,P1,收藏,收藏歌单页点击图片中的播放/暂停按钮,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_favorite_album_playlist_play_buttons_stateful,当前 VIP 账号已有收藏歌单数据，点击收藏歌单封面播放按钮并保留截图，随后暂停恢复。
156,F03_UC010,P2,自建歌单,自建歌单页面点击搜索,STATEFUL,,????????????????????????????
157,F03_UC010,P2,自建歌单,自建歌单页面点击设置,STATEFUL,,????????????????????????????
158,F03_UC010,P2,自建歌单,自建歌单页面点击酷我ICON,STATEFUL,,????????????????????????????
159,F03_UC010,P2,自建歌单,登录的账号有自建歌单手机端删除歌单查看自建歌单页面显示,STATEFUL,,????????????????????????????
160,F03_UC010,P2,自建歌单,登录的账号有自建歌单手机端新建歌单查看自建歌单页面显示,STATEFUL,,????????????????????????????
161,F03_UC010,P2,自建歌单,歌单中有歌曲点击自建歌单封面,STATEFUL,,????????????????????????????
163,F03_UC010,P2,自建歌单,登录的账号有自建歌单手机端删除歌单中的歌曲查看自建歌单页面显示,STATEFUL,,????????????????????????????
164,F03_UC010,P2,自建歌单,登录的账号有自建歌单手机端添加歌单中的歌曲查看自建歌单页面显示,STATEFUL,,????????????????????????????
165,F03_UC008,P1,账号,未登录我的页面点击默认头像,MANUAL_AUTH,,??????????????????/????
166,F03_UC008,P1,账号,已登录账号我的页面点击用户头像,MANUAL_AUTH,,??????????????????/????
167,F03_UC008,P1,账号,未登录账号查看账号页面显示,MANUAL_AUTH,,??????????????????/????
168,F03_UC008,P1,账号,登录VIP账号查看账号页面显示,MANUAL_AUTH,,??????????????????/????
169,F03_UC008,P1,账号,登录普通账号查看账号页面显示,MANUAL_AUTH,,??????????????????/????
171,F03_UC008,P2,账号,账号页面点击搜索,MANUAL_AUTH,,??????????????????/????
172,F03_UC008,P2,账号,账号页面点击设置,MANUAL_AUTH,,??????????????????/????
173,F03_UC008,P2,账号,账号页面点击酷我ICON,MANUAL_AUTH,,??????????????????/????
177,F03_UC008,P1,账号,使用酷我扫描二维码,MANUAL_AUTH,,??????????????????/????
179,F03_UC009,P2,账号,账号页面点击退出账号,MANUAL_AUTH,,??????????????????/????
180,F03_UC009,P2,账号,账号页面关闭退登弹框,MANUAL_AUTH,,??????????????????/????
181,F03_UC009,P1,账号,账号页面确认退出账号,MANUAL_AUTH,,??????????????????/????
183,F03_UC012,P2,购买会员,账号页面点击购买会员,MANUAL_AUTH,,??????????????????/????
184,F03_UC012,P2,购买会员,账号页面点击续费,MANUAL_AUTH,,??????????????????/????
185,F03_UC012,P1,购买会员,续费会员,MANUAL_AUTH,,??????????????????/????
186,F03_UC012,P1,购买会员,开通会员,MANUAL_AUTH,,??????????????????/????
187,F03_UC012,P2,购买会员,支付会员费用失败,MANUAL_AUTH,,??????????????????/????
188,F03_UC013,P2,购买会员,使用微信支付,MANUAL_AUTH,,??????????????????/????
189,F03_UC013,P2,购买会员,使用支付宝支付,MANUAL_AUTH,,??????????????????/????
190,F03_UC013,P2,购买会员,使用云闪付支付,MANUAL_AUTH,,??????????????????/????
191,F03_UC013,P2,购买会员,使用银行APP支付,MANUAL_AUTH,,??????????????????/????
192,F03_UC013,P2,购买会员,支付成功后订单异常未生效验证,MANUAL_AUTH,,??????????????????/????
193,F03_UC0010,P1,关联账号,账号页面点击关联账号,MANUAL_AUTH,,??????????????????/????
194,F03_UC0010,P2,关联账号,登录的酷我、车机都未绑定账号，绑定账号页面绑定账号,MANUAL_AUTH,,??????????????????/????
195,F03_UC0010,P2,关联账号,登录的酷我已绑定其他车机账号，绑定账号页面绑定账号,MANUAL_AUTH,,??????????????????/????
196,F03_UC0010,P2,关联账号,登录的车机已绑定其他酷我账号，绑定账号页面绑定账号,MANUAL_AUTH,,??????????????????/????
197,F03_UC0010,P2,关联账号,登录的车机和酷我都绑定了其他账号，绑定账号页面绑定账号,MANUAL_AUTH,,??????????????????/????
198,F03_UC0010,P2,关联账号,已绑定AF清除缓存查看登录绑定状态,MANUAL_AUTH,,??????????????????/????
199,F03_UC0010,P2,关联账号,已登录未绑定AF清除缓存查看登录绑定状态,MANUAL_AUTH,,??????????????????/????
200,F03_UC107,P1,关联账号,【账户】已绑定账号页面点击取消关联我的账号,MANUAL_AUTH,,??????????????????/????
201,F03_UC108,P1,关联账号,【账户】解绑页面点击解绑,MANUAL_AUTH,,??????????????????/????
202,F03_UC025,P1,播放歌曲,非会员播放支持试听的会员音乐,MANUAL_AUTH,,涉及非会员试听会员音乐，需要固定账号/版权资源，默认人工或半自动。
203,F03_UC025,P1,播放歌曲,非会员播放不支持试听的会员音乐,MANUAL_AUTH,,涉及非会员不可试听会员音乐，需要固定账号/版权资源，默认人工或半自动。
204,F03_UC025,P1,播放歌曲,非会员试听结束验证,MANUAL_AUTH,,涉及会员音乐试听结束状态，需要固定账号/版权资源，默认人工或半自动。
205,F03_UC025,P1,播放歌曲,会员播放VIP音乐验证,MANUAL_AUTH,,涉及会员账号播放 VIP 音乐，需要固定会员账号和版权资源。
206,F03_UC019,P1,播放页,查看普通歌曲播放页显示,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_player_page_display_and_play_button_strong,播放页前台焦点、截图和酷我媒体会话元数据均已验证，不再依赖动态播放页 XML。
207,F03_UC019,P1,播放页,非会员查看VIP歌曲播放页显示,MANUAL_AUTH,,?? VIP?????????????/????
208,F03_UC019,P1,播放页,会员查看VIP歌曲播放页显示,MANUAL_AUTH,,?? VIP?????????????/????
210,F03_UC040,P2,播放页,播放页点击返回按钮,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_player_title_actions_and_controls_strong,播放页标题栏返回按钮点击后强断言回到酷我首页。
211,F03_UC040,P2,播放页,播放页点击播放列表按钮,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_play_queue_readonly,已从播放页点击播放列表按钮并验证播放列表展示。
212,F03_UC040,P2,播放页,播放页点击酷我ICON,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_player_title_actions_and_controls_strong,播放页酷我 icon 点击后强断言媒体模块切换弹层展示。
213,F03_UC040,P2,播放页,CHCL46MEDIA-1008 播放页点击去K歌icon,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_player_k_song_entry_strong,播放页点击“去K歌”后前台切到 com.tencent.audi.karaokecar，并恢复酷我首页。
214,F03_UC040,P2,播放页,未登录账号点击播放页购买会员按钮,MANUAL_AUTH,,?? VIP?????????????/????
215,F03_UC040,P2,播放页,非会员账号点击播放页购买会员按钮,MANUAL_AUTH,,?? VIP?????????????/????
242,F03_UC019,P2,播放页,播放页点击播放按钮,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_player_page_display_and_play_button_strong,播放页先切到暂停态，再点击播放按钮，通过媒体会话 PAUSED -> PLAYING 验证。
243,F03_UC019,P2,播放页,播放页点击暂停按钮,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_player_title_actions_and_controls_strong,播放页在播放态点击暂停按钮，回到首页后通过 MiniPlayer 图标状态强断言已暂停。
244,F03_UC019,P2,播放页,音乐播放完验证,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_player_music_completion_by_seek_strong,播放页拖动进度条到末尾前一点，等待媒体会话切换 active_item_id/description，验证歌曲完成/续播链路。
259,F03_UC038,P2,miniplayer,退出播放详情页,AUTOMATED,tests/kuwo/test_kuwo_smoke.py::test_kuwo_miniplayer_visible,??? MiniPlayer ???????/????/????????
263,F03_UC038,P2,miniplayer,播放状态播放条中点击播放按钮,AUTOMATED,tests/kuwo/test_kuwo_smoke.py::test_kuwo_miniplayer_visible,??? MiniPlayer ???????/????/????????
264,F03_UC038,P2,miniplayer,暂停播放状态播放条中点击播放按钮,AUTOMATED,tests/kuwo/test_kuwo_smoke.py::test_kuwo_miniplayer_visible,??? MiniPlayer ???????/????/????????
269,F03_UC0027,P2,播放列表,播放列表页面点击歌曲,AUTOMATED,tests/kuwo/test_kuwo_library.py::test_kuwo_play_queue_tap_song_strong,播放列表中点击可见歌曲，回到首页后强断言 MiniPlayer 歌曲标题变化。
270,F03_UC0027,P2,播放列表,播放列表页长按歌曲,XFAIL_KNOWN_DEFECT,tests/kuwo/test_kuwo_library.py::test_kuwo_play_queue_long_press_song_observation,已自动化长按观测并留存截图；当前台架未展示稳定菜单/弹层。
271,F03_UC0027,P2,播放列表,播放列表页删除歌曲,STATEFUL,,删除播放列表歌曲会改变数据，需隔离账号/队列后执行。
272,F03_UC0027,P2,播放列表,播放列表页删除全部歌曲,STATEFUL,,删除全部歌曲会改变数据，需隔离账号/队列后执行。
273,F03_UC0027,P2,播放列表,播放列表页删除正在播放的歌曲,STATEFUL,,删除正在播放歌曲会改变数据，需隔离账号/队列后执行。
283,F03_UC0027,P2,专辑列表页,专辑列表页点击歌曲,AUTOMATED,tests/kuwo/test_kuwo_stateful_pages.py::test_kuwo_favorite_album_detail_song_strong,收藏专辑进入详情后点击首行歌曲，通过酷我媒体会话 PLAYING 和元数据验证播放。
288,F03_UC0027,P2,歌手介绍页,歌手详情页点击搜索,AUTOMATED,tests/kuwo/test_kuwo_search.py::test_kuwo_search_artist_detail_readonly,已进入歌手详情页并验证标题栏搜索入口。
289,F03_UC0027,P2,歌手介绍页,歌手详情页点击设置,AUTOMATED,tests/kuwo/test_kuwo_search.py::test_kuwo_search_artist_detail_readonly,已进入歌手详情页并验证标题栏设置入口。
290,F03_UC0027,P2,歌手介绍页,歌手详情页点击酷我icon,AUTOMATED,tests/kuwo/test_kuwo_search.py::test_kuwo_search_artist_detail_readonly,已进入歌手详情页并验证酷我 icon 模块切换入口。
302,F03_UC029,P1,设置,查看设置页面显示,AUTOMATED,tests/kuwo/test_kuwo_smoke.py::test_kuwo_settings_page_readonly,已验证设置页标题和只读列表项，不修改开关。
379,F03_UC132,P2,搜索,搜索组合的数据,AUTOMATED,tests/kuwo/test_kuwo_search.py::test_kuwo_search_artist_section_readonly,已验证搜索组合结果中的歌曲区和歌手区展示。
390,F03_UC098,P1,搜索,搜索页多个搜索结果间来回切换播放,AUTOMATED,tests/kuwo/test_kuwo_search.py::test_kuwo_search_multiple_result_song_switch_strong,搜索结果页连续点击两首歌曲，通过结果行 view_playing 标记强断言播放结果切换。
400,F03_UC098,P1,搜索,搜索页观察搜索历史新增,AUTOMATED,tests/kuwo/test_kuwo_search.py::test_kuwo_search_history_added_stateful,已使用 ASCII 测试词 autotest0528 搜索并验证重新进入搜索页后历史新增。
401,F03_UC098,P1,搜索,搜索页点击历史搜索记录,AUTOMATED,tests/kuwo/test_kuwo_search.py::test_kuwo_search_history_keyword_results_readonly,已点击历史词/推荐词“周杰伦”并验证结果页展示。
407,F03_UC037,P2,驾驶模式,开启了驾驶模式，点击用户协议,AUTOMATED,tests/kuwo/test_kuwo_driving_mode.py::test_kuwo_driving_mode_about_entries_blocked_stateful,已先执行 drive，再点击关于页用户协议入口，验证仍在关于页或展示行驶限制，并在 finally 恢复 park。
408,F03_UC037,P2,驾驶模式,开启了驾驶模式，点击隐私政策,AUTOMATED,tests/kuwo/test_kuwo_driving_mode.py::test_kuwo_driving_mode_about_entries_blocked_stateful,已先执行 drive，再点击关于页隐私政策入口，验证仍在关于页或展示行驶限制，并在 finally 恢复 park。
409,F03_UC037,P2,驾驶模式,开启了驾驶模式，点击开源免责声明,AUTOMATED,tests/kuwo/test_kuwo_driving_mode.py::test_kuwo_driving_mode_about_entries_blocked_stateful,已先执行 drive，再点击关于页开源免责声明入口，验证仍在关于页或展示行驶限制，并在 finally 恢复 park。
410,F03_UC037,P2,驾驶模式,进入用户协议页面后开启驾驶模式,AUTOMATED,tests/kuwo/test_kuwo_driving_mode.py::test_kuwo_driving_mode_legal_pages_restrict_and_restore_stateful,已在 park 打开用户协议，再执行 drive 并验证法律页行驶限制文案。
411,F03_UC037,P2,驾驶模式,进入隐私政策页面后开启驾驶模式,AUTOMATED,tests/kuwo/test_kuwo_driving_mode.py::test_kuwo_driving_mode_legal_pages_restrict_and_restore_stateful,已在 park 打开隐私政策，再执行 drive 并验证法律页行驶限制文案。
412,F03_UC037,P2,驾驶模式,进入开源免责声明后开启驾驶模式,AUTOMATED,tests/kuwo/test_kuwo_driving_mode.py::test_kuwo_driving_mode_legal_pages_restrict_and_restore_stateful,已在 park 打开开源免责声明，再执行 drive 并验证酷我内置长文本页行驶限制文案。
413,F03_UC037,P2,驾驶模式,处于用户协议页面，关闭驾驶模式验证,AUTOMATED,tests/kuwo/test_kuwo_driving_mode.py::test_kuwo_driving_mode_legal_pages_restrict_and_restore_stateful,已在用户协议限制页执行 park，验证法律页内容恢复。
414,F03_UC037,P2,驾驶模式,处于隐私政策页面，关闭驾驶模式验证,AUTOMATED,tests/kuwo/test_kuwo_driving_mode.py::test_kuwo_driving_mode_legal_pages_restrict_and_restore_stateful,已在隐私政策限制页执行 park，验证法律页内容恢复。
415,F03_UC037,P2,驾驶模式,处于开源免责声明页面，关闭驾驶模式验证,AUTOMATED,tests/kuwo/test_kuwo_driving_mode.py::test_kuwo_driving_mode_legal_pages_restrict_and_restore_stateful,已在开源免责声明限制页执行 park，验证长文本内容恢复。
416,F03_UC037,P2,驾驶模式,开启驾驶模式后未登录进入帐户页面,MANUAL_AUTH,,需未登录账号态；当前台架为 zhanghao001 已登录会员账号，不执行登出。
417,F03_UC037,P2,驾驶模式,开启驾驶模式后已登录进入帐户页面,AUTOMATED,tests/kuwo/test_kuwo_driving_mode.py::test_kuwo_driving_mode_logged_in_account_entry_stateful,以当前台架 VIP 登录账号为固定前置；drive 后进入账户页验证昵称、会员有效期、续费/绑定入口展示，并在 finally 恢复 park。
418,F03_UC037,P2,驾驶模式,进入扫码登陆页面后开启驾驶模式,MANUAL_AUTH,,需未登录扫码登录页；当前账号已登录，不执行登出或扫码登录。
419,F03_UC037,P2,驾驶模式,处于登陆二维码页面，关闭驾驶模式验证,MANUAL_AUTH,,需未登录扫码登录页；当前账号已登录，不执行登出或扫码登录。
